,Salary,Adjusted Salary
"('Miami', 'Caleb Martin')",844011,920476
"('Miami', 'Haywood Highsmith')",547701,597321
"('Miami', 'Chris Silva')",383720,418484
"('Miami', 'Kyle Guy')",383079,417785
"('Miami', 'Marcus Garrett')",236632,258070
"('Miami', ""Ja'Vonte Smart"")",146233,159481
"('Miami', 'Mario Chalmers')",138019,150523
"('Miami', 'Nik Stauskas')",111457,121554
"('Miami', 'Zylan Cheatham')",85578,93331
"('Miami', 'Aric Holman')",53176,57993
"('Miami', 'Mychal Mulder')",47858,52193
"('Milwaukee', 'Giannis Antetokounmpo')",39344900,42909452
"('Milwaukee', 'Khris Middleton')",35500000,38716214
"('Milwaukee', 'Jrue Holiday')",31171333,33995380
"('Milwaukee', 'Brook Lopez')",13302325,14507483
"('Milwaukee', 'Serge Ibaka')",9720900,10601590
"('Milwaukee', 'Pat Connaughton')",5333334,5816521
"('Milwaukee', 'Bobby Portis')",4347600,4741482
"('Milwaukee', 'Grayson Allen')",4054695,4422040
"('Milwaukee', 'George Hill')",4000000,4362390
"('Milwaukee', 'Jon Leuer')",3169348,3456483
"('Milwaukee', 'Wesley Matthews')",1958495,2135929
"('Milwaukee', 'Larry Sanders')",1865546,2034559
"('Milwaukee', 'Thanasis Antetokounmpo')",1729217,1885879
"('Milwaukee', 'Jordan Nwora')",1517981,1655506
"('Milwaukee', 'DeMarcus Cousins')",900283,981846
"('Milwaukee', 'DeAndre Bembry')",601867,656394
"('Milwaukee', 'Sandro Mamukelashvili')",462629,504542
"('Milwaukee', 'Georgios Kalaitzakis')",462629,504542
"('Milwaukee', 'Jevon Carter')",457149,498565
"('Milwaukee', 'Lindell Wigginton')",233973,255170
"('Milwaukee', 'Greg Monroe')",138019,150523
"('Milwaukee', 'Langston Galloway')",128709,140369
"('Milwaukee', ""Ja'Vonte Smart"")",119645,130484
"('Milwaukee', 'Luke Kornet')",102831,112147
"('Milwaukee', 'Justin Robinson')",74093,80805
"('Milwaukee', 'Jeff Dowtin')",53176,57993
"('Milwaukee', 'Javin DeLaurier')",53176,57993
"('Milwaukee', 'Luca Vildoza')",42789,46665
"('Milwaukee', 'Rayjon Tucker')",28779,31386
"('New York', 'Julius Randle')",19800000,21593832
"('New York', 'Evan Fournier')",17142857,18695958
"('New York', 'Derrick Rose')",13445120,14663215
"('New York', 'Alec Burks')",9536000,10399938
"('New York', 'Nerlens Noel')",8800000,9597258
"('New York', 'Kemba Walker')",8729020,9519848
"('New York', 'RJ Barrett')",8623920,9405226
"('New York', 'Joakim Noah')",6431666,7014359
"('New York', 'Obi Toppin')",5105160,5567675
"('New York', 'Taj Gibson')",4910000,5354834
"('New York', 'Cam Reddish')",4670160,5093265
"('New York', 'Solomon Hill')",2389641,2606136
"('New York', 'Immanuel Quickley')",2210640,2410918
"('New York', 'Quentin Grimes')",2168640,2365113
"('New York', 'Mitchell Robinson')",1802057,1965319
"('New York', 'Miles McBride')",925258,1009084
"('New York', 'Denzel Valentine')",902802,984593
"('New York', 'Wayne Selden')",812363,885961
"('New York', 'Ryan Arcidiacono')",774727,844915
"('New York', 'Jericho Sims')",462629,504542
"('New York', 'Luka Samanic')",396159,432050
